c_project_folder,c_build_status,rust_project_folder,rust_transpile_status
datasets/CBench/2DPartInt,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/42-Kocaeli-Printf,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/CircularBuffer,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/FastHamming,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/Genetic-neural-network-for-simple-control,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/Graph-recogniser,OK,Graph-recogniser,OK
datasets/CBench/Holdem-Odds,OK,Holdem-Odds,OK
datasets/CBench/LTRE,OK,LTRE,OK
datasets/CBench/Linear-Algebra-C,OK,Linear-Algebra-C,OK
datasets/CBench/Math-Library-in-C,OK,Math-Library-in-C,OK
datasets/CBench/Megalania,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/NandC,OK,NandC,OK
datasets/CBench/Phills_DHT,"Build failed, 'compile_commands.json' not created in /Users/sourya/work/Tractor/CRUST-bench/datasets/CBench/Phills_DHT/build/",,
datasets/CBench/Remimu,Invalid C build system,,
datasets/CBench/Simple-Config,OK,Simple-Config,OK
datasets/CBench/Simple-Sparsehash,OK,Simple-Sparsehash,OK
datasets/CBench/SimpleXML,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/SlothLang,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/VaultSync,OK,VaultSync,"Command '['c2rust', 'transpile', '-o', PosixPath('/Users/sourya/work/Tractor/converted_rust_projects/c2rust_CRUST-Bench/VaultSync'), '--overwrite-existing', PosixPath('/Users/sourya/work/Tractor/CRUST-bench/datasets/CBench/VaultSync/build/compile_commands.json')]' returned non-zero exit status 101."
datasets/CBench/XOpt,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/aes128-SIMD,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/amp,OK,amp,OK
datasets/CBench/approxidate,OK,approxidate,OK
datasets/CBench/avalanche,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/bhshell,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/bigint,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/bitset,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/blt,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/bostree,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/btree-map,OK,btree-map,OK
datasets/CBench/c-aces,OK,c-aces,OK
datasets/CBench/c-blind-rsa-signatures,OK,c-blind-rsa-signatures,OK
datasets/CBench/c-string,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/cJSON,OK,cJSON,OK
datasets/CBench/carrays,OK,carrays,OK
datasets/CBench/cfsm,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/chtrie,OK,chtrie,OK
datasets/CBench/cissy,OK,cissy,OK
datasets/CBench/clhash,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/clog,OK,clog,OK
datasets/CBench/coroutine,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/cset,OK,cset,OK
